video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favoriteCount,commentCount,duration,definition,caption,durationSecs,tagCount
14YplFFEbng,The New York Times,"Threats to the Presidential Election, Explained","Nick Corasaniti, a New York Times reporter covering voting, describes how the 2024 election could be complicated by litigation, disinformation and battles over certifying the vote.

Read the story here: https://nyti.ms/3YJlB4w
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.","['trump', 'swing states', 'latest news', 'election threats', 'voting threats', 'election challenges', 'ballot challenges', 'provisional ballots', 'overseas ballots', 'military ballots', 'counting votes', 'order of counting votes', 'election integrity', 'voting integrity', 'trump campaign', 'kamala harris', 'georgia voting', 'electoral count reform act', 'ecra', 'electoral college', 'election day', 'ecra deadline', 'congress election', 'news', 'us news', 'trump news', 'us', 'new york times', 'nyt', 'nick corasaniti', 'harris vs trump']",2024-11-03 18:00:02,10625.0,321.0,0.0,38.0,PT2M56S,hd,false,176.0,31
V2MAnNgO61A,The New York Times,Our Photographers’ Favorite Trump and Harris Photos,"How did they get those photos? Doug Mills, who has been photographing former President Donald Trump for The New York Times, and Erin Schaff, who has been photographing Vice President Kamala Harris, tell the stories behind their favorite photos of the candidates.

Video by Doug Mills, Erin Schaff, Claire Hogan and Gabriel Blanco/The New York Times

Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.","['donald trump', 'kamala harris', 'news', 'donald trump news', 'kamala harris news', 'photography', 'news photography', 'photos of trump and harris', 'doug mills', 'erin schaff', 'new york times', 'the new york times', 'nyt', '2024 election', 'presidential election', 'trump vs harris', 'donald trump kamala harris', 'us news', 'politics', 'us', 'nyt video', 'nytimes video', 'trump force one', 'joe biden', 'trump trial', 'obama', 'obama harris']",2024-11-02 20:00:10,34269.0,992.0,0.0,81.0,PT4M35S,hd,false,275.0,27
HyzGkEV3p2g,The New York Times,"If You Think Biden and Harris Were Weak on the Border, Think Again | NYT Opinion","Immigration is a top issue on voters’ minds. When people talk about President Biden and Vice President Kamala Harris’s handling of immigration, they usually say something like: Record numbers of migrants poured across the border over the past three years, and Mr. Biden and Ms. Harris ignored the crisis until recently. They were weak on the border. Or worse, inept.

I wanted to know how the president and vice president could mess this up so badly. What in the world were they doing?

The Opinion video above tells the little-known story of how Mr. Biden and Ms. Harris worked behind the scenes to get the border crisis under control. I found that they acted strategically, out of the spotlight, since the earliest days of the administration. They even bucked their own party and fulfilled Republican wishes, though they’ve gotten little credit for it.

Their hard work finally paid off when illegal crossings dropped significantly this year.

In politics, there’s the story that gets told in public, and then there’s what really happened behind closed doors. In this case, those two narratives are worlds apart. And Ms. Harris is paying for it. When polled, a majority of voters said they believed Donald Trump would handle immigration better than Ms. Harris.

If voters knew how Mr. Biden and Ms. Harris actually handled the border crisis, they’d most likely have a different opinion of which candidate could be trusted on this cornerstone issue.


Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.",,2024-11-02 14:00:20,307174.0,16363.0,0.0,3361.0,PT16M11S,hd,true,971.0,0
rMMf7ZdbpDs,The New York Times,"For Day of the Dead, I Followed This Flower's Journey | Op-Docs","The life of the marigold, known as the cempasúchil in Mexico, reflects our own: the plant sprouts, grows, flowers and dies. The flowers’ yellow and orange glow is ubiquitous across Mexico every year in the first few days of November, during Day of the Dead, as families place cempasúchil flowers on altars and at cemeteries to create a path to guide their loved ones back home.

My grandmother died of Covid in October 2020, just as the cempasúchil began to appear in the markets of Mexico City. Her death was sudden, and it was a painful experience for my family. Because of the restrictions on gatherings during Covid in Mexico, a funeral was not held after her death.

A few days later, my cousin Gabriel, who lived with my grandmother, went to buy the materials for her first altar. When I saw the image of the altar through family text messages, I was struck by the beauty of his gift to her memory. He created it alone in their shared apartment; this was the only ceremony he could assemble to celebrate her life.

Around her portrait beamed the sunlike glow of the cempasúchil. Absorbed by its radiance, I wondered what other hands had passed over the flowers resting on her altar. Had they faced a similar loss? Did they have the chance to celebrate their loved ones?

These questions led me to retrace the path that those flowers traveled: from the fields where they were harvested to the markets where they were sold and then to my grandmother’s altar. Along the way, I met people who had lost their loved ones to Covid and gained a deeper understanding of the unique grief we experienced during the pandemic. In the short documentary above, “más y más y más flores,” I observe how the cempasúchil not only connects us to those in the realm beyond, but to one another in the world of the living.

After the Day of the Dead has passed, when the flowers wither and fall, seeds appear and scatter. From its own death, the cempasúchil’s next cycle of life begins.

- Film and text by César Martínez Barba (https://www.cesarmartinezbarba.com/). 

More from The New York Times Video: 
Op-Docs: https://www.nytimes.com/column/op-docs
Subscribe: http://bit.ly/U8Ys7n​​
Watch all of our videos here: http://nytimes.com/video​​
----------
Op-Docs is a forum for short, opinionated documentaries by independent filmmakers. Learn more about Op-Docs and how to submit to the series. Follow The New York Times Opinion section on Facebook, Twitter and Instagram (@NYTopinion).","['what is day of the dead?', 'how is day of the dead celebrated?', 'what happens during day of the dead?', 'what are marigolds?', 'What are cempasúchil?', 'mexico', 'Día de Los Muertos', 'day of the dead', 'cempasúchil', 'marigold flowers', 'celebration', 'grief', 'flower markets', 'Mexico City', 'short film', 'videos in Spanish', 'short documentary', 'op-docs', 'the new york times', 'nyt']",2024-11-01 22:00:25,21267.0,1034.0,0.0,33.0,PT24M21S,hd,false,1461.0,20
7Re-LyLhOwI,The New York Times,Watch Ralph Fiennes Deliver a Startling Speech in ‘Conclave’ | Anatomy of a Scene,"The selection of a new pope is at the center of “Conclave,” the latest drama from the director Edward Berger (“All Quiet on the Western Front”). But while the setting is reverent, the movie finds its narrative propulsion in what its characters try to hide or, in this scene, what they surprisingly decide to express.

Ralph Fiennes plays Cardinal Lawrence, the dean of the College of Cardinals, the group that will elect a new pope. The character has operated on the sidelines for much of his time in the church, but something bolder happens here. He addresses the cardinals in a homily that starts formally and ends with personal expressions of doubt.

Narrating the scene, Berger said that it sets up Lawrence “as a character to be reckoned with. He delivers this speech that comes from his heart, and other cardinals, especially the ones with ambition to become the next pope, suddenly fear that there’s a new contender in the room.”

Read the ""Conclave"" review here: https://nyti.ms/4ffikzc
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.","['movies', 'conclave', 'ralph fiennes', 'pope movie', 'edward berger', 'conclave movie', 'anatomy of a scene', 'the new york times', 'new york times video', 'nytvideo', 'new york times movies', 'Scooptag:100000009781467']",2024-11-01 17:00:08,129713.0,1386.0,0.0,106.0,PT4M19S,hd,true,259.0,12
nmlmKJRMMnc,The New York Times,Inside a Pro-Trump Network Ready to Challenge the Election,"For years, right-wing activists have huddled in video meetings to talk about how to remake democracy. They’ve spread conspiracy theories about illegal voting and planned meticulously for the 2024 election. The New York Times has obtained the recordings. Alexandra Berzon, an investigative reporter covering American politics and elections for The New York Times, explains.

Video by Alexandra Berzon, Rebecca Suner, James Surdam and Bron Moyi

Read the story here: https://nyti.ms/3UoswgY
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.","['election', 'trump', 'election integrity network', 'conservative', 'right wing', 'election denial', 'election challenges', 'cleta mitchell', 'conspiracy theories', 'conspiracy theorists', 'election conspiracy theories', 'noncitizen voting', 'non-citizen voting', 'election denial movement', 'save act', 'safeguarding american voter eligibility act', 'chip roy', 'alexandra berzon', 'latest news', 'election threats', 'election day', 'news', 'us news', 'us', 'new york times', 'nyt', 'harris vs trump', 'nyt video', 'kamala harris']",2024-11-01 15:04:00,9640.0,321.0,0.0,86.0,PT3M17S,hd,false,197.0,29
x0Li_wMVGY8,The New York Times,What Backlash to Racist Rally Remarks Means for Trump,"Donald Trump's Madison Square Garden rally was the beginning of a tumultuous final week for his campaign, after speakers' racist remarks and vulgar insults drew backlash. Maggie Haberman, our senior political correspondent, breaks down what the controversy could mean for Trump ahead of Election Day.

By Maggie Haberman, Alexandra Ostasiewicz, Ben Laffin, David Jouppi and Karen Hanley

Read the story here: https://nyti.ms/3NOQ62D
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.","['election', 'trump', 'top headlines', 'harris', 'biden', '2024', 'garbage', 'antichrist', 'racist', 'racism', 'maggie haberman', 'tony hinchcliffe', 'kill tony', 'puerto rico', 'hurricane maria', 'madison square garden', 'john kelly', 'not a nazi', 'nazi', 'swing states', 'latest news', 'overseas ballots', 'trump campaign', 'kamala harris', 'ecra', 'news', 'us news', 'trump news', 'us', 'new york times', 'nyt', 'harris vs trump']",2024-11-01 00:45:04,25649.0,806.0,0.0,291.0,PT3M1S,hd,false,181.0,32
CL5bWLXTe40,The New York Times,How Trump Is Making Big Promises to Big Business,"Crypto. Big Oil. Tobacco. Vaping. Former President Donald Trump has been making overt promises to industry leaders. Shane Goldmacher, a national political correspondent for The New York Times, explains. 

Video by Shane Goldmacher, Alexandra Ostasiewicz and Karen Hanley

Read the story here: https://nyti.ms/3BZLhAM
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.","['news', 'election', 'donald trump', 'big business', 'donald trump wealth', 'kamala harris', 'mar-a-lago', 'elon musk', 'vapor technology association', 'crytpo', 'cryptocurrency', 'bitcoin', 'oil industry', 'gas', 'fossil fuels', 'drill baby drill', 'shane goldmacher', '2024 election', 'trump', 'latest news', 'trump campaign', 'us news', 'trump news', 'us', 'new york times', 'nyt', 'nick corasaniti', 'harris vs trump', 'nyt video', 'nytimes video', 'analysis', 'quid pro quo']",2024-10-30 17:30:01,8122.0,328.0,0.0,90.0,PT3M19S,hd,false,199.0,32
hHLxTK7YWco,The New York Times,Why Are North Korean Troops in Russia?,"Over the last month, North Korea’s role aiding Russia in its war in Ukraine has significantly escalated. U.S. officials reported that North Korean soldiers are already operating in the Kursk region in western Russia, where Ukrainian forces are staging a counteroffensive. Michael Shear, a White House correspondent for The New York Times, explains what the deepening relationship between Russia and North Korea means for the war in Ukraine and the world. 

Video by Michael D. Shear, Nikolay Nikolov and Laura Salaberry

Read the story here: https://nyti.ms/4hs0YAX
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.","['north korean troops in russia', 'north korean troops', 'south korea', 'war in ukraine', 'kursk', 'ballistic missiles', 'defense cooperation pact', 'putin', 'kim jong-un', 'khrushchev', 'kim il sung', 'soviet union', 'pyongyang', 'sergeyevka', 'russia ukraine news', 'news', 'ukraine', 'russia', 'russia war', 'ukraine russia war', 'new york times', 'nyt', 'nytimes video', 'nyt video', 'war news', 'michael shear']",2024-10-29 15:00:57,20996.0,329.0,0.0,126.0,PT2M50S,hd,false,170.0,26
CG0BT0f_KM4,The New York Times,3 Horror Movies to Watch for Halloween,"In time for Halloween, Erik Piepenburg, who writes a monthly horror movie streaming column in The New York Times, has three scary movies for you.

Video by Erik Piepenburg, Gabriel Blanco, Claire Hogan and Ruru Kuo/The New York Times

Read the story here: https://nyti.ms/48sblRu
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.","['horror video', 'scary movie', 'horror movies for halloween', 'halloween horror movies', 'halloween', 'horror films', 'mr crocket', ""daddy's head"", 'the blob', 'erik piepenburg', 'new york times', 'nyt', 'nyt video', 'new york times video', 'nyt book reviews', 'nytimes video', 'movie reviews', 'nyt movie reviews']",2024-10-28 17:00:10,9532.0,216.0,0.0,52.0,PT3M47S,hd,false,227.0,18
o_sYD1m7gGc,The New York Times,I Help Run Elections in My Pennsylvania County. The Right Is Being Lied To. | NYT Opinion,"The United States is closer than ever to achieving the dream it’s been chasing since 1776: an inclusive democracy that lives up to the promise of one person, one vote. But since 2020, election deniers have sought to undermine America’s collective voice with lies about the security of our elections. In the Opinion Video above, Neil Makhija — who will help oversee elections in his county in the battleground state of Pennsylvania — argues that our votes have never been safer or more secure. In fact, someone is more likely to be struck by lightning than to impersonate someone else at a polling site.

But we can’t afford to be complacent. “To protect democracy, we can’t just play defense,” Makhija cautions. “We need to go on offense to expand voting rights and voting access.”
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.","['Did Donald Trump win the 2020 election?', 'How secure is voting in the United States?', 'Why do election deniers think the 2020 election was stolen?', 'Will the 2024 election be fair?', 'How are votes counted in America?', 'How do elections in the U.S. work?', 'Voting', 'Elections', 'The United States Presidential Election', 'Donald Trump', 'The New York Times', 'NYT Opinion', 'NYT Opinion Video']",2024-10-26 14:00:50,83454.0,4793.0,0.0,838.0,PT6M25S,hd,true,385.0,13
5DAVi7OQSGU,The New York Times,How the Storm Shook Up North Carolina’s Election,"Astead W. Herndon, a national reporter for The New York Times and the host of the politics podcast “The Run-Up,” traveled to North Carolina to see how Hurricane Helene and the misinformation in its wake have reshaped the election landscape in this crucial battleground state.

Read the story here: https://nyti.ms/4e5B8jk
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.","['north carolina', 'trump', 'kamala harris', '2024 election', 'hurricane helene', 'north carolina election', 'north carolina disaster', 'north carolina flooding', 'swannanoa', 'bat cave', 'marion', 'presidential election', 'trump vs harris', 'roy cooper', 'conspiracy theories', 'mark robinson', 'deanne criswell', 'fema', 'chet effler', 'pensacola nc', 'astead herndon', 'democrats', 'republicans', 'daily news', 'donald trump kamala harris', 'news', 'voters', 'polls', 'runup', 'run-up', 'us news', 'trump news', 'politics', 'us', 'new york times', 'nyt']",2024-10-25 19:15:00,5733.0,152.0,0.0,21.0,PT2M50S,hd,false,170.0,36
KIYYBNgt_A4,The New York Times,Watch Dancers Haunt Naomi Scott in ‘Smile 2’ | Anatomy of a Scene,"A pop star finds herself surrounded by a menacing version of her dancers in this scene from “Smile 2.”

Naomi Scott plays Skye Riley, a pop star who has struggled with the personal demons of addiction. But as soon as she gets her life back on track, she becomes possessed by a different kind of demon, one that has her seeing hallucinations and spiraling once again out of control.

In this scene, Skye is in her apartment at night when she begins to see several dancers staring at her, wearing the sinister grin of the film’s title.

Narrating the scene, the film’s director, Parker Finn, said, “These dancers that I got to work with, and my choreographer, Celia Rowlson-Hall, it was this incredible collaboration to create something that felt both like a menacing attack, but also at the same time, dance.”

Read the New York Times review: nyti.ms/3NHoGf3
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.","['movies', 'smile movie', 'smile', 'smile 2', 'parker finn', 'naomi scott', 'scooptag:100000009774005', 'anatomy of a scene', 'new york times', 'new york times video', 'nytvideo', 'the new york times']",2024-10-25 15:00:22,71506.0,1098.0,0.0,179.0,PT1M42S,hd,true,102.0,12
